Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"キャミソールの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/camisole.png","大人服の無料型紙","","大人向けキャミソールの作り方。前後身頃（わ裁ち）と肩ひもの3ピース構成。ニット・サテン・リネンで作れます。カタガミでサイズに合わせた型紙を実寸印刷できます。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-camisole.html","","キャミソール, 大人服, 洋裁, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"ブラウスの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/blouse.png","大人服の無料型紙","","ブラウス（前あきボタンダウン）の作り方。後身頃はわ裁ち、前身頃は打ち合わせ付きで2枚裁断するセットインスリーブのブラウス。シャツ生地・ダブルガーゼ・リネン向き。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-blouse.html","","ブラウス, 大人服, 洋裁, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"ワンピース（袖あり）の無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/onepiece.png","大人服の無料型紙","","ワンピース（袖あり）の作り方。ウエスト切り替えのボディス＋スカート＋袖の3パーツ構成。コットン・リネン・ダブルガーゼ向き。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-onepiece.html","","ワンピース, 大人服, 洋裁, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"ジャケットの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/jacket.png","大人服の無料型紙","","ジャケット（フロントボタン）の作り方。後身頃わ裁ち、前身頃2枚、袖のセットインスリーブジャケット。コットンツイル・ウールなど布帛素材向き。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-jacket.html","","ジャケット, 大人服, 洋裁, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"コートの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/coat.png","大人服の無料型紙","","コート（フロントボタン）の作り方。後身頃わ裁ち、前身頃2枚、袖のセットインスリーブコート。ウール・ツイード・キルト生地など厚手素材向き。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-coat.html","","コート, 大人服, 洋裁, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"子供Tシャツの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/kidstee.png","子供服の型紙","","身長別サイズの子供用Tシャツの作り方。ドロップショルダーのボックスT。ニット地で簡単。カタガミで80〜130cmの型紙を実寸印刷できます。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-kidstee.html","","子供Tシャツ, 子供服, 入園準備, 入学準備, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"キッズワンピースの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/kidsdress.png","子供服の型紙","","ノースリーブ身頃にギャザースカートを接いだキッズワンピースの作り方。前後身頃＋スカートの3パーツ構成で、衿ぐり・袖ぐりはバイアステープ仕上げ。カタガミでサイズに合わせた型紙を実寸印刷できます。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-kidsdress.html","","キッズワンピース, 子供服, 入園準備, 入学準備, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"キッズスモックの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/smock.png","子供服の型紙","","保育園・幼稚園の定番、かぶって着るキッズスモックの作り方。前後共通身頃＋筒袖の2型で、衿ぐり・袖口はゴム仕様。カタガミでサイズに合わせた型紙を実寸印刷できます。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-smock.html","","キッズスモック, 子供服, 入園準備, 入学準備, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"キッズベストの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/kidsvest.png","子供服の型紙","","前開きのシンプルなキッズベストの作り方。後ろ身頃1枚と前身頃2枚の構成で、衿ぐり・前端・袖ぐりはバイアスや見返しで始末。カタガミでサイズに合わせた型紙を実寸印刷できます。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-kidsvest.html","","キッズベスト, 子供服, 入園準備, 入学準備, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"ゴムウエストパンツの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/pants.png","子供服の型紙","","前後同じ型紙で作るゴムウエストのキッズパンツの作り方。中心と脇を縫い、ウエストにゴムを通すだけ。身長別サイズ対応。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-pants.html","","ゴムウエストパンツ, 子供服, 入園準備, 入学準備, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"キッズハーフパンツの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/kidshalf.png","子供服の型紙","","ゴムウエストのキッズハーフパンツの作り方。前後同じ型紙で股ぐり・脇を縫い、ウエストにゴムを通すだけ。カタガミで身長に合わせた型紙を実寸印刷できます。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-kidshalf.html","","キッズハーフパンツ, 子供服, 入園準備, 入学準備, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"ギャザースカートの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/gather.png","子供服の型紙","","長方形で作るゴムウエストのギャザースカートの作り方。前後2枚を脇で縫い、上を折ってゴムを通すだけ。子供から大人まで。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-gather.html","","ギャザースカート, 子供服, 入園準備, 入学準備, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"かぼちゃパンツ（ブルマ）の無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/bloomers.png","ベビーグッズの手作り型紙","","ベビー・キッズのかぼちゃパンツ（ブルマ）の作り方。前後共通の型紙で、ウエストと裾の両方にゴムを通すふんわりシルエット。カタガミでサイズに合わせた型紙を実寸印刷できます。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-bloomers.html","","かぼちゃパンツ, ベビー, 出産準備, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"おくるみ（フード付き）の無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/swaddle.png","ベビーグッズの手作り型紙","","正方形の本体に角フードを付けたフード付きおくるみの作り方。表布と裏布を縫い合わせて返すだけ。カタガミでサイズに合わせた型紙を実寸印刷できます。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-swaddle.html","","おくるみ, ベビー, 出産準備, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"バンダナスタイの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/bandanastai.png","ベビーグッズの手作り型紙","","三角の形がかわいいバンダナ風スタイの作り方。表・裏2枚を縫い合わせて返し、首回りをスナップで留めるだけ。カタガミでサイズに合わせた型紙を実寸印刷できます。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-bandanastai.html","","バンダナスタイ, ベビー, 出産準備, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"スタイの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/stai.png","ベビーグッズの手作り型紙","","表裏2枚を縫って返すだけのスタイ（よだれかけ）の作り方。月齢別サイズ対応。出産祝いにも。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-stai.html","","スタイ, ベビー, 出産準備, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"ベビー帽子（チューリップハット）の無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/babyhat.png","ベビーグッズの手作り型紙","","花びら6枚のクラウンに下向きブリムを付けた、ベビー用チューリップハットの作り方。表布と裏布で作ればリバーシブルに。カタガミで頭囲に合わせた型紙を実寸印刷できます。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-babyhat.html","","ベビー帽子, ベビー, 出産準備, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"ベビーレッグウォーマーの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/legwarmer.png","ベビーグッズの手作り型紙","","筒状に縫うだけのベビーレッグウォーマーの作り方。長辺を縫って上下を折り返すだけ。ニット地なら締め付けず快適。カタガミでサイズに合わせた型紙を実寸印刷できます。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-legwarmer.html","","ベビーレッグウォーマー, ベビー, 出産準備, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"巾着・小袋の無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/kinchaku.png","巾着・ポーチ・小物","","裁縫初心者でも作れる巾着袋の作り方を丁寧に解説。型紙の取り方から、縫い代の始末、ひも通しまでステップごとに説明しています。カタガミで型紙を自動生成して実寸印刷できます。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-kinchaku.html","","巾着・小袋, 布小物, 手作り小物, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"コップ袋（マチ付き）の無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/kincgusset.png","巾着・ポーチ・小物","","底にマチのあるコップ袋・お弁当袋の作り方。底を輪にして裁ち、底角を三角につまんでマチを作ります。入園入学準備に。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-kincgusset.html","","コップ袋, 布小物, 手作り小物, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"体操着袋（巾着リュック）の無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/gymbag.png","巾着・ポーチ・小物","","底をわで裁つ巾着型の体操着袋の作り方。底の両角にひもループを付ければリュックのように背負えます。カタガミでサイズに合わせた型紙を実寸印刷できます。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-gymbag.html","","体操着袋, 布小物, 手作り小物, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"上履き入れの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/shoesbag.png","巾着・ポーチ・小物","","Dカン付きの持ち手で吊るせる上履き入れの作り方。本体は底をわで裁ち、持ち手とDカンタブを付けるだけ。カタガミでサイズに合わせた型紙を実寸印刷できます。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-shoesbag.html","","上履き入れ, 布小物, 手作り小物, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"移動ポケットの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/movepocket.png","巾着・ポーチ・小物","","ポケットのない服に付けられる移動ポケット（付けポケット）の作り方。本体・フラップ・ベルト通しの構成。入学準備に。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-movepocket.html","","移動ポケット, 布小物, 手作り小物, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"プリーツマスクの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/mask.png","巾着・ポーチ・小物","","中央に3本のプリーツをとった平面マスクの作り方。表・裏2枚を縫い、左右を折ってゴムを通すだけ。カタガミで大人・子供サイズの型紙を実寸印刷できます。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-mask.html","","プリーツマスク, 布小物, 手作り小物, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"立体マスク（上下2パーツ）の無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/fittedmask.png","巾着・ポーチ・小物","","立体マスク（上下2パーツ）の作り方。上下のパーツをカーブで縫い合わせる3D型マスク。顔にフィットして息がしやすく、マスクが口に付きにくい構造。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-fittedmask.html","","立体マスク, 布小物, 手作り小物, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"三角巾（給食・お手伝い用）の無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/bandana.png","巾着・ポーチ・小物","","頭にかぶる三角巾の作り方。三辺を三つ折りでヘムするだけ、底辺にゴムを通せばかぶるだけにも。カタガミで幼児〜大人サイズの型紙を実寸印刷できます。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-bandana.html","","三角巾, 布小物, 手作り小物, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"ランチョンマットの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/placemat.png","巾着・ポーチ・小物","","給食用ランチョンマットの作り方。四辺を縫うだけの一重仕立て、または2枚を縫い合わせる二重仕立てに対応。カタガミでサイズ指定して実寸印刷できます。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-placemat.html","","ランチョンマット, 布小物, 手作り小物, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"シュシュの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/shuushu.png","巾着・ポーチ・小物","","布とゴムだけで作れるシュシュの作り方。長辺を縫って筒にしゴムを通すだけ。15分で完成。はぎれ活用に最適。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-shuushu.html","","シュシュ, 布小物, 手作り小物, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"ヘアバンドの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/headband.png","巾着・ポーチ・小物","","布を筒にして作るヘアバンド・ターバンの作り方。シュシュの幅広版で簡単。ニット地ならゴムなしでもOK。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-headband.html","","ヘアバンド, 布小物, 手作り小物, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"ティッシュケースの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/tissuecase.png","巾着・ポーチ・小物","","1枚の布で作るポケットティッシュケースの作り方。上下を折って脇を縫うだけ。10分で完成。はぎれ活用に。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-tissuecase.html","","ティッシュケース, 布小物, 手作り小物, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"ブックカバーの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/bookcover.png","巾着・ポーチ・小物","","文庫・新書サイズのブックカバーの作り方。上下を縫って左右を折り返すだけ。本のサイズから型紙を自動計算。カタガミで実寸印刷できます。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-bookcover.html","","ブックカバー, 布小物, 手作り小物, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"蝶ネクタイの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/bowtie.png","巾着・ポーチ・小物","","結婚式やパーティーに使える蝶ネクタイの作り方。本体を輪に折ってギャザーを寄せ中央バンドで巻くだけ。人・子供・犬用にもサイズ調整可能。カタガミで型紙を実寸印刷。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-bowtie.html","","蝶ネクタイ, 布小物, 手作り小物, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"トートバッグの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/tote.png","バッグの無料型紙","","底にマチのあるトートバッグの作り方を初心者向けに解説。角マチ式で本体は1枚裁ち、底角を切り欠いて縫うだけ。通園・通学バッグやレッスンバッグに。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-tote.html","","トートバッグ, バッグ, レッスンバッグ, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"ファスナーポーチの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/pouch.png","バッグの無料型紙","","初心者でも作れるフラットなファスナーポーチの作り方。前後2枚にファスナーを付けて縫うだけ。コスメポーチや小物入れに。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-pouch.html","","ファスナーポーチ, バッグ, レッスンバッグ, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"ポーチ（マチあり）の無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/pouchgusset.png","バッグの無料型紙","","底にマチのあるファスナーポーチの作り方。底角を三角につまんで縫うだけで立体的になります。化粧ポーチやペンケースに。カタガミで型紙を実寸印刷。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-pouchgusset.html","","ポーチ, バッグ, レッスンバッグ, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"がまぐちポーチの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/gamaguchi.png","バッグの無料型紙","","口金を使ったがまぐちポーチの作り方。口金のサイズから布サイズを自動計算。小銭入れやコスメ入れに。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-gamaguchi.html","","がまぐちポーチ, バッグ, レッスンバッグ, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"サコッシュの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/sacoche.png","バッグの無料型紙","","前後2枚を縫い合わせるだけのシンプルなサコッシュ（ショルダーバッグ）の作り方。スマホや財布を入れて身軽にお出かけ。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-sacoche.html","","サコッシュ, バッグ, レッスンバッグ, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"あずま袋の無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/azuma.png","バッグの無料型紙","","1枚の長方形を三つに折って縫うだけのあずま袋の作り方。風呂敷のように包め、お弁当やマイバッグに。カタガミでサイズに合わせた型紙を実寸印刷できます。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-azuma.html","","あずま袋, バッグ, レッスンバッグ, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
"汎用パネルの無料型紙｜サイズ自由・A4に実寸印刷","https://katagami.org/pins/panel.png","バッグの無料型紙","","クッションカバーやバッグの面、小物作りに使える四角い布パネルの作り方。幅と高さを入れるだけで縫い代付きの型紙が作れます。カタガミで実寸印刷。 数値を入れるだけで、縫い代こみの型紙を無料でA4に実寸印刷できます。ダウンロード不要・ブラウザだけで完結、作り方ガイド付き。","https://katagami.org/howto-panel.html","","汎用パネル, バッグ, レッスンバッグ, 型紙, 無料型紙, ハンドメイド, ソーイング, A4実寸印刷"
