"Board","Image file","Title","Description","Destination URL"
"Kids' Clothes Patterns","pins/en/kidstee.png","Kids' T-shirt — Free PDF Sewing Pattern (Print at Home)","The same relaxed drop-shoulder box tee as the adult version, sized for kids. Just a front and back bodice plus sleeves, with a knit neckband — quick to remake each season as they grow. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #kidsclothes","https://katagami.org/en/howto-kidstee.html"
"Kids' Clothes Patterns","pins/en/kidsdress.png","Kids' dress — Free PDF Sewing Pattern (Print at Home)","A sleeveless bodice joined to a fully gathered skirt — a sweet two-tier dress. Just three pieces, with the neckline and armholes bound in bias tape. Wear it as a summer dress or a layering pinafore. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #kidsclothes","https://katagami.org/en/howto-kidsdress.html"
"Kids' Clothes Patterns","pins/en/smock.png","Kids' smock — Free PDF Sewing Pattern (Print at Home)","The classic pull-on smock for nursery and preschool art and meals. A relaxed drop-shoulder body (same front and back) plus tube sleeves, with elastic at the neckline and cuffs for easy on and off. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #kidsclothes","https://katagami.org/en/howto-smock.html"
"Kids' Clothes Patterns","pins/en/kidsvest.png","Kids' vest — Free PDF Sewing Pattern (Print at Home)","A simple front-opening vest, great for layering. Just a back and two fronts — no sleeves, so it's quick. Make it in quilting cotton or fleece for a warm outer layer. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #kidsclothes","https://katagami.org/en/howto-kidsvest.html"
"Kids' Clothes Patterns","pins/en/pants.png","Elastic-waist pants — Free PDF Sewing Pattern (Print at Home)","Relaxed pull-on pants. The front and back use the same pattern: sew the center (crotch) seams, sew the sides and inseam, fold the waist for elastic, and hem. The only curve is the crotch, so it's one of the easier garments to make. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #kidsclothes","https://katagami.org/en/howto-pants.html"
"Kids' Clothes Patterns","pins/en/kidshalf.png","Kids' shorts — Free PDF Sewing Pattern (Print at Home)","Easy, comfy elastic-waist shorts for active kids. Four pieces from the same pattern: sew the crotch, sides and inseam, hem the legs and run elastic through the waist. For boys or girls. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #kidsclothes","https://katagami.org/en/howto-kidshalf.html"
"Kids' Clothes Patterns","pins/en/gather.png","Gathered skirt — Free PDF Sewing Pattern (Print at Home)","The easiest gathered skirt: two near-rectangular pieces, sewn at the sides, with an elastic waist that gathers the fullness. The gather ratio sets how full it looks. Perfect for kids or a simple adult skirt. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #kidsclothes","https://katagami.org/en/howto-gather.html"
"Baby Sewing Projects","pins/en/bloomers.png","Bloomers — Free PDF Sewing Pattern (Print at Home)","Round, puffy bloomers that fit right over a diaper. Four pieces from the same pattern, with elastic at both the waist and the legs. Mostly straight stitching — a lovely first baby garment. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #babysewing","https://katagami.org/en/howto-bloomers.html"
"Baby Sewing Projects","pins/en/swaddle.png","Swaddle (hooded) — Free PDF Sewing Pattern (Print at Home)","Wrap the baby or use it as a stroller blanket. The triangular hood at one corner covers the head. Simple construction: sew the outer and lining together and turn. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #babysewing","https://katagami.org/en/howto-swaddle.html"
"Baby Sewing Projects","pins/en/bandanastai.png","Bandana bib — Free PDF Sewing Pattern (Print at Home)","A stylish triangular bandana bib. It uses less fabric than a regular bib and adds a cute accent to any outfit. Sew an outer and an absorbent backing, turn right side out, and finish with snaps. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #babysewing","https://katagami.org/en/howto-bandanastai.html"
"Baby Sewing Projects","pins/en/stai.png","Baby bib — Free PDF Sewing Pattern (Print at Home)","The classic baby bib: layer an outer fabric and an absorbent backing, sew around, turn right side out through a gap, and finish with a snap. Gauze or towelling is gentle on skin and makes a welcome baby gift. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #babysewing","https://katagami.org/en/howto-stai.html"
"Baby Sewing Projects","pins/en/babyhat.png","Baby hat (tulip hat) — Free PDF Sewing Pattern (Print at Home)","A round crown of six petals (gores) with a downward brim. Make it with an outer and a lining and it's fully reversible. Cute sun protection for baby outings. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #babysewing","https://katagami.org/en/howto-babyhat.html"
"Baby Sewing Projects","pins/en/legwarmer.png","Baby leg warmers — Free PDF Sewing Pattern (Print at Home)","The simplest baby make: sew a tube and hem the ends. Leg warmers keep little legs cozy, protect knees during crawling, and make diaper changes easy. Stretch knit is comfiest. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #babysewing","https://katagami.org/en/howto-legwarmer.html"
"Pouch & Small Sewing","pins/en/kinchaku.png","Drawstring pouch — Free PDF Sewing Pattern (Print at Home)","The simplest drawstring pouch: fold one piece of fabric into a loop at the base and sew both sides. The dotted line near the top marks the drawstring casing. Great for small gifts, toys or odds and ends. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #pouch","https://katagami.org/en/howto-kinchaku.html"
"Pouch & Small Sewing","pins/en/kincgusset.png","Cup bag (gusseted) — Free PDF Sewing Pattern (Print at Home)","A drawstring bag with a triangular base gusset so it holds a cup or bento box. Cut with the base on the fold, sew the sides, then pinch and sew the base corners. A back-to-school staple. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #pouch","https://katagami.org/en/howto-kincgusset.html"
"Pouch & Small Sewing","pins/en/gymbag.png","Gym bag (drawstring backpack) — Free PDF Sewing Pattern (Print at Home)","The classic top-cinching drawstring bag. Thread the cords through loops at the bottom corners and it becomes a drawstring backpack. Great for gym clothes or a change of clothes. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #pouch","https://katagami.org/en/howto-gymbag.html"
"Pouch & Small Sewing","pins/en/shoesbag.png","Shoe bag — Free PDF Sewing Pattern (Print at Home)","A shoe bag you can hang by its D-ring handle. The body is cut as one piece with the base on the fold; you fold the opening, sandwich the handle and tab, and sew the sides. A back-to-school staple. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #pouch","https://katagami.org/en/howto-shoesbag.html"
"Pouch & Small Sewing","pins/en/movepocket.png","Clip-on pocket — Free PDF Sewing Pattern (Print at Home)","A handy pocket you attach to a waistband when clothes have no pockets. Hold a tissue or handkerchief, close with a snap, and clip it on or thread a belt through the loop. Three parts: body, flap and belt loop. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #pouch","https://katagami.org/en/howto-movepocket.html"
"Pouch & Small Sewing","pins/en/mask.png","Pleated mask — Free PDF Sewing Pattern (Print at Home)","A flat mask with three pleats. Sew the outer and lining together, fold the pleats, and make casings at the sides for the ear elastic. A quick, beginner-friendly project. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #pouch","https://katagami.org/en/howto-mask.html"
"Pouch & Small Sewing","pins/en/fittedmask.png","Fitted mask (2-piece) — Free PDF Sewing Pattern (Print at Home)","A shaped 3D mask made by joining an upper and a lower piece along a curved center seam. Unlike a flat mask, it follows the face so it sits off the lips and breathes easier. Three sizes (child, women's, men's). Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #pouch","https://katagami.org/en/howto-fittedmask.html"
"Pouch & Small Sewing","pins/en/bandana.png","Triangle headscarf — Free PDF Sewing Pattern (Print at Home)","A triangle headscarf for cooking, chores or play. Just triple-fold hem the three edges. Run elastic through the base edge and it becomes a no-tie, pull-on version. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #pouch","https://katagami.org/en/howto-bandana.html"
"Pouch & Small Sewing","pins/en/placemat.png","Placemat — Free PDF Sewing Pattern (Print at Home)","A simple placemat sewn around four sides. Make it single-layer (folding the seam allowance as you sew) or double-layer (two pieces sewn right sides together and turned). A great quick project for beginners. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #pouch","https://katagami.org/en/howto-placemat.html"
"Pouch & Small Sewing","pins/en/shuushu.png","Scrunchie — Free PDF Sewing Pattern (Print at Home)","A hair accessory you sew into a tube and thread elastic through. The length sets how full it gathers and the width sets the volume. A perfect 10-minute project for using up scraps. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #pouch","https://katagami.org/en/howto-shuushu.html"
"Pouch & Small Sewing","pins/en/headband.png","Headband — Free PDF Sewing Pattern (Print at Home)","A headband made by sewing fabric into a tube and joining the short ends. It's the same idea as a scrunchie, just wider. Knit fabric lets you skip the elastic and rely on the stretch. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #pouch","https://katagami.org/en/howto-headband.html"
"Pouch & Small Sewing","pins/en/tissuecase.png","Tissue case — Free PDF Sewing Pattern (Print at Home)","A pocket-tissue cover from a single piece of fabric. Hem the two openings, fold so they overlap at the center, and sew the two sides. Straight stitching only — a great first project and a good use of scraps. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #pouch","https://katagami.org/en/howto-tissuecase.html"
"Pouch & Small Sewing","pins/en/bookcover.png","Book cover — Free PDF Sewing Pattern (Print at Home)","A simple wrap-and-fold book cover. Sew the top and bottom edges, then fold the left and right flaps inward and slip the book's covers in — no buttons or closures needed. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #pouch","https://katagami.org/en/howto-bookcover.html"
"Pouch & Small Sewing","pins/en/bowtie.png","Bow tie — Free PDF Sewing Pattern (Print at Home)","The classic type: fold the body into a loop at the center, gather it, and wrap a center band around it. Depending on the size it suits an adult, a child or a pet (threaded onto a collar). Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #pouch","https://katagami.org/en/howto-bowtie.html"
"Bag Sewing Patterns","pins/en/tote.png","Tote bag — Free PDF Sewing Pattern (Print at Home)","A classic tote bag with a boxed base. The body is cut as a single piece folded at the bottom, and notching and sewing the base corners creates the gusset. Perfect as a lesson bag, library bag or shopping bag. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #bagpattern","https://katagami.org/en/howto-tote.html"
"Bag Sewing Patterns","pins/en/pouch.png","Zipper pouch — Free PDF Sewing Pattern (Print at Home)","A flat pouch with a zipper across the top. You sew the front and back to the zipper tape, then close up the sides — a great first zipper project. The zipper length is roughly the finished width. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #bagpattern","https://katagami.org/en/howto-pouch.html"
"Bag Sewing Patterns","pins/en/pouchgusset.png","Pouch (gusseted) — Free PDF Sewing Pattern (Print at Home)","A roomy zipper pouch with a gusset, made by pinching and sewing the base corners. If you can make a flat zipper pouch, one extra step gives you a lot more capacity — great for cosmetics or pens. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #bagpattern","https://katagami.org/en/howto-pouchgusset.html"
"Bag Sewing Patterns","pins/en/gamaguchi.png","Clasp purse (gamaguchi) — Free PDF Sewing Pattern (Print at Home)","The gamaguchi is the classic Japanese coin purse with a satisfying snap clasp. Enter your clasp size and the tool works out the matching fabric pattern. Fusible interfacing on the outer gives the purse body that plump, structured look. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #bagpattern","https://katagami.org/en/howto-gamaguchi.html"
"Bag Sewing Patterns","pins/en/sacoche.png","Sacoche — Free PDF Sewing Pattern (Print at Home)","A simple flat shoulder bag (sacoche): sew the front and back together and add a strap. Light and quick — perfect for a phone, wallet and keys. Close the top with a zipper or a magnetic snap. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #bagpattern","https://katagami.org/en/howto-sacoche.html"
"Bag Sewing Patterns","pins/en/azuma.png","Azuma bag — Free PDF Sewing Pattern (Print at Home)","Fold a single 1:3 rectangle into thirds and sew two seams — that's the whole bag. It wraps like a furoshiki and the knot adjusts the size. Handy as a bento wrap, reusable shopping bag or spare bag. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #bagpattern","https://katagami.org/en/howto-azuma.html"
"Bag Sewing Patterns","pins/en/panel.png","Fabric panel (square) — Free PDF Sewing Pattern (Print at Home)","A plain rectangle of fabric is the foundation of countless projects — cushion covers, bag panels, placemats, pouch bases. Enter a width and height and the tool adds seam allowance for you. Here we use it to make an envelope-back cushion cover. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #bagpattern","https://katagami.org/en/howto-panel.html"
"Bag Sewing Patterns","pins/en/clutchbag.png","Clutch bag — Free PDF Sewing Pattern (Print at Home)","This clutch folds at the bottom on the ""wa"" (fold), so the body is a single piece. With just a body and a flap, you can add a zip or simply snap the flap shut. Canvas, denim or faux leather makes it casual; a refined print makes it formal. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #bagpattern","https://katagami.org/en/howto-clutchbag.html"
"Bag Sewing Patterns","pins/en/shoulderbag.png","Shoulder bag (flap) — Free PDF Sewing Pattern (Print at Home)","Three pieces — body, flap and strap — make this easygoing shoulder bag. The body is lined, the flap folds over and snaps shut, and the strap clips on with swivel hooks. Choose canvas, denim or faux leather to set the mood. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #bagpattern","https://katagami.org/en/howto-shoulderbag.html"
"Pet Clothes Patterns","pins/en/dog.png","Dog clothes (tank) — Free PDF Sewing Pattern (Print at Home)","A sleeveless tube tank made from a back panel and a belly panel sewn at the sides, with the front-leg openings left in the side seams. Dogs vary a lot in shape, so basting first and fitting to your dog is the key to success. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #petclothes #dogclothes","https://katagami.org/en/howto-dog.html"
"Pet Clothes Patterns","pins/en/dogsleeved.png","Dog clothes (sleeved) — Free PDF Sewing Pattern (Print at Home)","This warm dog coat is a sleeveless tank with tube sleeves added for the front legs. Front-leg shape varies hugely between dogs, so the trick is to fit the back and belly panels as a tank first, then make the sleeves — that way the armholes never end up in the wrong place. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #petclothes #dogclothes","https://katagami.org/en/howto-dogsleeved.html"
"Pet Clothes Patterns","pins/en/mannerbelt.png","Belly band (manner belt) — Free PDF Sewing Pattern (Print at Home)","Wrapped around the belly, a manner belt helps prevent marking. The construction couldn't be simpler: fold the fabric lengthwise into a tube, sew, and close with hook-and-loop tape. Tuck a waterproof pad or pet sheet inside in use. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #petclothes #dogclothes","https://katagami.org/en/howto-mannerbelt.html"
"Pet Clothes Patterns","pins/en/petbandana.png","Pet bandana — Free PDF Sewing Pattern (Print at Home)","Thread it onto the collar and your dog or cat instantly looks the part. Because the top edge folds into a channel that the collar passes through, there's nothing to tie — it slips on and off in seconds. Lovely for walks, outings and birthday photos. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #petclothes #dogclothes","https://katagami.org/en/howto-petbandana.html"
"Pet Clothes Patterns","pins/en/petsnood.png","Dog snood (neck warmer) — Free PDF Sewing Pattern (Print at Home)","A simple tube snood keeps a floppy-eared dog's ears out of the food bowl and warm on chilly days. You just sew the long edge into a tube; thread elastic through one end and it hugs the face gently. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #petclothes #dogclothes","https://katagami.org/en/howto-petsnood.html"
"Pet Clothes Patterns","pins/en/catfuku.png","Cat clothes (tank top) — Free PDF Sewing Pattern (Print at Home)","This cat top is a tube made by joining a back panel and a belly panel, with the front-leg openings cut extra wide for easy dressing. Cats tolerate clothes best in soft, light, stretchy knit — start with short wearing sessions. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #petclothes #dogclothes","https://katagami.org/en/howto-catfuku.html"
"Pet Clothes Patterns","pins/en/petvest.png","Pet vest (dog & cat) — Free PDF Sewing Pattern (Print at Home)","This vest has wide-open front-leg holes and a two-piece back-and-belly design that suits both dogs and cats. It moves freely and stays breathable, making it a great summer wardrobe piece. Knit keeps it stretchy; cotton or linen leans more stylish. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #petclothes #dogclothes","https://katagami.org/en/howto-petvest.html"
"Home & Interior Sewing","pins/en/cushioncover.png","Cushion cover (envelope) — Free PDF Sewing Pattern (Print at Home)","An envelope cushion cover that needs no zipper. One front piece and two back pieces that overlap at the opening. A simple, satisfying home project for sturdy fabric like cotton, linen or canvas. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #homedecorsewing","https://katagami.org/en/howto-cushioncover.html"
"Home & Interior Sewing","pins/en/tablecloth.png","Tablecloth — Free PDF Sewing Pattern (Print at Home)","Just enter your table size and how far you want it to drop, and the tool gives you the fabric size. Then it's a single-layer cloth — triple-fold hem the four sides. Straight stitching only. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #homedecorsewing","https://katagami.org/en/howto-tablecloth.html"
"Home & Interior Sewing","pins/en/pillowcase.png","Pillowcase (envelope) — Free PDF Sewing Pattern (Print at Home)","An envelope pillowcase that needs no zipper. One front piece and two back pieces that overlap at the opening. Best in soft, skin-friendly fabric like cotton, double gauze or linen. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide. #sewingpattern #freepattern #sewing #diysewing #homedecorsewing","https://katagami.org/en/howto-pillowcase.html"
