Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"Camisole — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/camisole.png","Women's Clothes Patterns","","A simple camisole: sew the front and back at the sides, finish the neckline and armholes, and add straps. The front has a U neckline and the back a shallow neck. Works in almost any fabric. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-camisole.html","","camisole, cami, how to sew, sewing pattern, straps, beginner, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Blouse — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/blouse.png","Women's Clothes Patterns","","A button-down blouse with set-in sleeves: the back is cut on the fold and the front as two pieces with a button stand. Best in woven fabric. Casual or smart depending on your fabric. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-blouse.html","","blouse, button-down, shirt, set-in sleeve, how to sew, sewing pattern, woven, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Dress (with sleeves) — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/onepiece.png","Women's Clothes Patterns","","A waist-seam dress: a fitted bodice joined to an A-line skirt, with set-in sleeves and a bias-bound neckline. Comfortable and pretty in woven fabric like cotton, linen or double gauze. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-onepiece.html","","dress with sleeves, waist seam dress, set-in sleeve, how to sew, sewing pattern, woven, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Jacket — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/jacket.png","Women's Clothes Patterns","","A front-button jacket with set-in sleeves: the back is cut on the fold, the front as two pieces with a button stand. Best in thicker woven fabric. Add a lining for a dressier finish, or leave it single-layer for casual wear. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-jacket.html","","jacket, set-in sleeve, button front, how to sew, sewing pattern, wool, twill, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Coat — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/coat.png","Women's Clothes Patterns","","A front-button A-line coat with set-in sleeves: the back is cut on the fold, the front as two pieces with a button stand. Best in heavy fabric like wool, tweed or quilted fabric. A lining makes the finish even nicer. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-coat.html","","coat, a-line coat, set-in sleeve, button front, how to sew, sewing pattern, wool, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Kids' T-shirt — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/kidstee.png","Kids' Clothes Patterns","","The same relaxed drop-shoulder box tee as the adult version, sized for kids. Just a front and back bodice plus sleeves, with a knit neckband — quick to remake each season as they grow. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-kidstee.html","","kids t-shirt, knit, how to sew, sewing pattern, childrens clothes, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Kids' dress — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/kidsdress.png","Kids' Clothes Patterns","","A sleeveless bodice joined to a fully gathered skirt — a sweet two-tier dress. Just three pieces, with the neckline and armholes bound in bias tape. Wear it as a summer dress or a layering pinafore. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-kidsdress.html","","kids dress, girls dress, gathered dress, how to sew, sewing pattern, childrens, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Kids' smock — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/smock.png","Kids' Clothes Patterns","","The classic pull-on smock for nursery and preschool art and meals. A relaxed drop-shoulder body (same front and back) plus tube sleeves, with elastic at the neckline and cuffs for easy on and off. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-smock.html","","kids smock, art smock, preschool, how to sew, sewing pattern, pullover, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Kids' vest — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/kidsvest.png","Kids' Clothes Patterns","","A simple front-opening vest, great for layering. Just a back and two fronts — no sleeves, so it's quick. Make it in quilting cotton or fleece for a warm outer layer. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-kidsvest.html","","kids vest, gilet, how to sew, sewing pattern, layering, fleece, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Elastic-waist pants — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/pants.png","Kids' Clothes Patterns","","Relaxed pull-on pants. The front and back use the same pattern: sew the center (crotch) seams, sew the sides and inseam, fold the waist for elastic, and hem. The only curve is the crotch, so it's one of the easier garments to make. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-pants.html","","elastic waist pants, how to sew, sewing pattern, kids pants, easy pants, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Kids' shorts — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/kidshalf.png","Kids' Clothes Patterns","","Easy, comfy elastic-waist shorts for active kids. Four pieces from the same pattern: sew the crotch, sides and inseam, hem the legs and run elastic through the waist. For boys or girls. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-kidshalf.html","","kids shorts, elastic waist, how to sew, sewing pattern, summer, childrens, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Gathered skirt — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/gather.png","Kids' Clothes Patterns","","The easiest gathered skirt: two near-rectangular pieces, sewn at the sides, with an elastic waist that gathers the fullness. The gather ratio sets how full it looks. Perfect for kids or a simple adult skirt. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-gather.html","","gathered skirt, elastic waist, how to sew, sewing pattern, easy skirt, kids, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Bloomers — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/bloomers.png","Baby Sewing Projects","","Round, puffy bloomers that fit right over a diaper. Four pieces from the same pattern, with elastic at both the waist and the legs. Mostly straight stitching — a lovely first baby garment. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-bloomers.html","","bloomers, baby bloomers, pumpkin pants, how to sew, sewing pattern, elastic, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Swaddle (hooded) — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/swaddle.png","Baby Sewing Projects","","Wrap the baby or use it as a stroller blanket. The triangular hood at one corner covers the head. Simple construction: sew the outer and lining together and turn. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-swaddle.html","","swaddle, hooded blanket, baby blanket, how to sew, sewing pattern, handmade, baby gift, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Bandana bib — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/bandanastai.png","Baby Sewing Projects","","A stylish triangular bandana bib. It uses less fabric than a regular bib and adds a cute accent to any outfit. Sew an outer and an absorbent backing, turn right side out, and finish with snaps. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-bandanastai.html","","bandana bib, baby bib, triangle bib, how to sew, sewing pattern, baby gift, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Baby bib — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/stai.png","Baby Sewing Projects","","The classic baby bib: layer an outer fabric and an absorbent backing, sew around, turn right side out through a gap, and finish with a snap. Gauze or towelling is gentle on skin and makes a welcome baby gift. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-stai.html","","baby bib, bib, how to sew, sewing pattern, baby gift, snap, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Baby hat (tulip hat) — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/babyhat.png","Baby Sewing Projects","","A round crown of six petals (gores) with a downward brim. Make it with an outer and a lining and it's fully reversible. Cute sun protection for baby outings. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-babyhat.html","","baby hat, tulip hat, sun hat, how to sew, sewing pattern, reversible, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Baby leg warmers — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/legwarmer.png","Baby Sewing Projects","","The simplest baby make: sew a tube and hem the ends. Leg warmers keep little legs cozy, protect knees during crawling, and make diaper changes easy. Stretch knit is comfiest. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-legwarmer.html","","baby leg warmers, leg warmers, how to sew, sewing pattern, knit, easy, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Drawstring pouch — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/kinchaku.png","Pouch & Small Sewing","","The simplest drawstring pouch: fold one piece of fabric into a loop at the base and sew both sides. The dotted line near the top marks the drawstring casing. Great for small gifts, toys or odds and ends. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-kinchaku.html","","drawstring pouch, drawstring bag, how to sew, sewing pattern, gift bag, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Cup bag (gusseted) — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/kincgusset.png","Pouch & Small Sewing","","A drawstring bag with a triangular base gusset so it holds a cup or bento box. Cut with the base on the fold, sew the sides, then pinch and sew the base corners. A back-to-school staple. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-kincgusset.html","","cup bag, gusseted drawstring, bento bag, how to sew, sewing pattern, school, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Gym bag (drawstring backpack) — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/gymbag.png","Pouch & Small Sewing","","The classic top-cinching drawstring bag. Thread the cords through loops at the bottom corners and it becomes a drawstring backpack. Great for gym clothes or a change of clothes. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-gymbag.html","","gym bag, drawstring backpack, cinch bag, how to sew, sewing pattern, school, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Shoe bag — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/shoesbag.png","Pouch & Small Sewing","","A shoe bag you can hang by its D-ring handle. The body is cut as one piece with the base on the fold; you fold the opening, sandwich the handle and tab, and sew the sides. A back-to-school staple. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-shoesbag.html","","shoe bag, indoor shoes bag, D-ring, how to sew, sewing pattern, school, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Clip-on pocket — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/movepocket.png","Pouch & Small Sewing","","A handy pocket you attach to a waistband when clothes have no pockets. Hold a tissue or handkerchief, close with a snap, and clip it on or thread a belt through the loop. Three parts: body, flap and belt loop. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-movepocket.html","","clip-on pocket, detachable pocket, how to sew, sewing pattern, school, tissue pocket, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Pleated mask — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/mask.png","Pouch & Small Sewing","","A flat mask with three pleats. Sew the outer and lining together, fold the pleats, and make casings at the sides for the ear elastic. A quick, beginner-friendly project. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-mask.html","","pleated mask, face mask, how to sew, sewing pattern, double gauze, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Fitted mask (2-piece) — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/fittedmask.png","Pouch & Small Sewing","","A shaped 3D mask made by joining an upper and a lower piece along a curved center seam. Unlike a flat mask, it follows the face so it sits off the lips and breathes easier. Three sizes (child, women's, men's). Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-fittedmask.html","","fitted mask, 3D mask, face mask, how to sew, sewing pattern, nose wire, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Triangle headscarf — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/bandana.png","Pouch & Small Sewing","","A triangle headscarf for cooking, chores or play. Just triple-fold hem the three edges. Run elastic through the base edge and it becomes a no-tie, pull-on version. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-bandana.html","","triangle headscarf, bandana, kerchief, how to sew, sewing pattern, kids, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Placemat — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/placemat.png","Pouch & Small Sewing","","A simple placemat sewn around four sides. Make it single-layer (folding the seam allowance as you sew) or double-layer (two pieces sewn right sides together and turned). A great quick project for beginners. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-placemat.html","","placemat, how to sew, sewing pattern, table linen, beginner, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Scrunchie — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/shuushu.png","Pouch & Small Sewing","","A hair accessory you sew into a tube and thread elastic through. The length sets how full it gathers and the width sets the volume. A perfect 10-minute project for using up scraps. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-shuushu.html","","scrunchie, how to sew, sewing pattern, hair tie, beginner, handmade, scrap fabric, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Headband — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/headband.png","Pouch & Small Sewing","","A headband made by sewing fabric into a tube and joining the short ends. It's the same idea as a scrunchie, just wider. Knit fabric lets you skip the elastic and rely on the stretch. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-headband.html","","headband, how to sew, sewing pattern, knit, turban, hair accessory, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Tissue case — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/tissuecase.png","Pouch & Small Sewing","","A pocket-tissue cover from a single piece of fabric. Hem the two openings, fold so they overlap at the center, and sew the two sides. Straight stitching only — a great first project and a good use of scraps. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-tissuecase.html","","tissue case, tissue cover, how to sew, sewing pattern, scrap fabric, beginner, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Book cover — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/bookcover.png","Pouch & Small Sewing","","A simple wrap-and-fold book cover. Sew the top and bottom edges, then fold the left and right flaps inward and slip the book's covers in — no buttons or closures needed. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-bookcover.html","","book cover, fabric book cover, how to sew, sewing pattern, handmade, gift, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Bow tie — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/bowtie.png","Pouch & Small Sewing","","The classic type: fold the body into a loop at the center, gather it, and wrap a center band around it. Depending on the size it suits an adult, a child or a pet (threaded onto a collar). Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-bowtie.html","","bow tie, how to sew, sewing pattern, wedding, kids, pet collar, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Tote bag — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/tote.png","Bag Sewing Patterns","","A classic tote bag with a boxed base. The body is cut as a single piece folded at the bottom, and notching and sewing the base corners creates the gusset. Perfect as a lesson bag, library bag or shopping bag. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-tote.html","","tote bag, how to sew, sewing pattern, boxed corners, lesson bag, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Zipper pouch — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/pouch.png","Bag Sewing Patterns","","A flat pouch with a zipper across the top. You sew the front and back to the zipper tape, then close up the sides — a great first zipper project. The zipper length is roughly the finished width. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-pouch.html","","zipper pouch, how to sew a zipper, sewing pattern, pencil case, cosmetic bag, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Pouch (gusseted) — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/pouchgusset.png","Bag Sewing Patterns","","A roomy zipper pouch with a gusset, made by pinching and sewing the base corners. If you can make a flat zipper pouch, one extra step gives you a lot more capacity — great for cosmetics or pens. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-pouchgusset.html","","gusseted pouch, boxed pouch, zipper pouch, how to sew, cosmetic bag, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Clasp purse (gamaguchi) — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/gamaguchi.png","Bag Sewing Patterns","","The gamaguchi is the classic Japanese coin purse with a satisfying snap clasp. Enter your clasp size and the tool works out the matching fabric pattern. Fusible interfacing on the outer gives the purse body that plump, structured look. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-gamaguchi.html","","gamaguchi, clasp purse, coin purse, metal frame purse, how to sew, sewing pattern, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Sacoche — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/sacoche.png","Bag Sewing Patterns","","A simple flat shoulder bag (sacoche): sew the front and back together and add a strap. Light and quick — perfect for a phone, wallet and keys. Close the top with a zipper or a magnetic snap. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-sacoche.html","","sacoche, crossbody bag, how to sew, sewing pattern, shoulder bag, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Azuma bag — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/azuma.png","Bag Sewing Patterns","","Fold a single 1:3 rectangle into thirds and sew two seams — that's the whole bag. It wraps like a furoshiki and the knot adjusts the size. Handy as a bento wrap, reusable shopping bag or spare bag. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-azuma.html","","azuma bag, furoshiki bag, reusable bag, how to sew, sewing pattern, eco bag, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
"Fabric panel (square) — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/panel.png","Bag Sewing Patterns","","A plain rectangle of fabric is the foundation of countless projects — cushion covers, bag panels, placemats, pouch bases. Enter a width and height and the tool adds seam allowance for you. Here we use it to make an envelope-back cushion cover. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-panel.html","","fabric panel, square, cushion cover, envelope cushion, how to sew, sewing pattern, beginner, free sewing pattern, PDF pattern, print at home, DIY sewing, handmade"
"Clutch bag — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/clutchbag.png","Bag Sewing Patterns","","This clutch folds at the bottom on the ""wa"" (fold), so the body is a single piece. With just a body and a flap, you can add a zip or simply snap the flap shut. Canvas, denim or faux leather makes it casual; a refined print makes it formal. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-clutchbag.html","","clutch bag, clutch, wallet bag, faux leather, how to sew, sewing pattern, flap bag, free sewing pattern, PDF pattern, print at home, DIY sewing, handmade"
"Shoulder bag (flap) — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/shoulderbag.png","Bag Sewing Patterns","","Three pieces — body, flap and strap — make this easygoing shoulder bag. The body is lined, the flap folds over and snaps shut, and the strap clips on with swivel hooks. Choose canvas, denim or faux leather to set the mood. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-shoulderbag.html","","shoulder bag, crossbody bag, flap bag, how to sew, sewing pattern, messenger bag, free sewing pattern, PDF pattern, print at home, DIY sewing, handmade"
"Dog clothes (tank) — Free PDF Sewing Pattern (Print at Home)","https://katagami.org/pins/en/dog.png","Pet Clothes Patterns","","A sleeveless tube tank made from a back panel and a belly panel sewn at the sides, with the front-leg openings left in the side seams. Dogs vary a lot in shape, so basting first and fitting to your dog is the key to success. Enter your size and print the seam-allowance-included pattern at home on A4 or Letter — free, no download, with a step-by-step guide.","https://katagami.org/en/howto-dog.html","","dog clothes, dog tank, pet clothes, how to sew, sewing pattern, handmade, free sewing pattern, PDF pattern, print at home, DIY sewing"
